message,aid_related
"I need to know if those quakes are over. There is a rumor about a bigger one coming soon, is it true ",1
I am a earthquake survivor. I lost my house and all my belonging. How can you help me.,1
"I have a child who's father is in a foreign country and doesn't take care of him, I have no house, , I have no food to give him",1
.. . Now were in Gonaives zone Kanal Bwa i send this message. .. ,0
"My necessities are not complex. I don't have money right now to be able to get on the internet. So, that is why I am telling you a little about myself and I will tell you more when you respond. Bye. ",1
I need to know if someone who is in the military can send for his or her family,1
I would like to get some info about the earthquake.,0
after how muche time does the earthquake stop? did it pass and at what level?,0
"in the name of the young in action from Croix des missions, we are sollic . ..  ",0
and in addition what time will it be possible for me to sleep in my house?,0
i would like to find more information on the disaster.,0
I want more information aout the earthquake.,0
"Hi I don't have a place to sleep, it's in the community park on santo 17, on the Peter field, we don't have food, do something for us please.",1
I didn't tell the whole family this :  The reason I was saved awasn't harmed is because I was in the streets.  Right now I'm in the streets with this child. I can't live like this.,1
Is it true that people can go to Senegal without a visa?,0
"I need some information, radio but no battery ( translator's interpertation - could mean i don't have a lot )",1
I would like to knwo where I can find work?,0
"Hello, please if I know someone in Canada but I don't have ID, can I go to Canada?",0
When will the eachivey open? How much time will it take?,0
I'd like some information about traveling to the United State please.,0
when ca we sleep in our houses,0
I would like information on the response. I would like information about responses to the earthquake.,0
"Hello, I would like information please.",0
Is there a possibility of having reoccurrence or another seismic event of a magnitude 8 or more in the next few days?,0
It's advised to airdrop food kits to rural houses and the slums. The silent are also hungry.,1
"hello to you, please, i would like to know how to find care for my husband, he is fractured in hand and foot and cannot walk, thankyou ",1
"Hi i speak english, if it's possible i would like to know of some groups that need an interpreter. you can let me know on this number.",1
How many answers/aftershocks do we have? ,0
"Hello, think about me and if you can help in the sense that my business crashed, my house crashed and I didn't save anything at all so I am in the street, I am hungry, what can I do?",1
"I am a student at the dominican republic, my passport is due, I went to renew it but it was not delivered to me. I need to go back to school so tell me what I need to do..",0
"When will I find that job because the earthquakes are not finished, when they finish I don't find ?notes? available beside me. When it's finished I don't have a house, it's rubble.",1
We are AFS ( Association Women without roof ) We need expertise for all house that have no roof that have not fallen especially houses that are on Lazarre Street.,1
Where can victims go get a visa so they can go to Santo Domingo?,0
I'm sending this message to see what you can do for me.,0
I would like to hear more about the earthquake. I am listening to thoman in Gantye,0
we are a student union in belok leogane. we have not found up till now food for the population. pleas give an ans adress where we can find food.,1
How can you help us find some food. Hunger is killing us here. Thank you in advance. Im couinting on you,1
I need information about the country. How are things today?,0
"Hello, Please if passport is expired what is a good way to go to Santo Domingo",0
Are there any money transfer offices open in Croix des bouquet,0
Can I go in my home because my home is not damaged ( has nothing ).,0
"Committee bloc Sama ( cbs 18 ) in Delmas 18. We have sent many messgaes for help and we still haven't recieved anything. We need food, water and medication. we do not know who else to ask.",1
"Please, this person need water and food, Delmas 33, Rue Costa 8 ",1
"I have no food or water. Please help me, I am in the 10th section of Leogane",1
I would like some information in the country.,0
"URGENT, please help us, children and olders are dying from starvation. Please you have to come, we are downtown Leogane, rue ( street ) Danjour. Thank you",1
"Hello digicel. We're at Delmas 40b, muso village. We have no food, no water. We can't do this anmore. Help us please.",1
"SOS, SOS. 27 month old child in difficulties at Cap-haitien. We need diapers, milk and protein. Thank you for your help.",1
I need to know which money transfer offices are open.,0
What would the foreigners are doing with the country?,0
Information about the second earthquake.,0
i would like to know when the aftershocks will end,0
i want to know the name of haitian artists that died in the earthquake,1
Is it trye that there will be another aftershock stronger than the 6. 1 we had???,0
Where is the fault? From where to where does it extend?,0
We are the group Women in Democracy. Leogane has totally collapsed. We need help urgently. ,1
"We are forgotten survivors in Carrefour, Sapotille. What can we do to survive?",1
i am stuck i am all the way in the countryside in the area of gros morne. i need help,1
Concerning the prisoners that have escaped. We have heard that they have been marked ( stamped? ). Is it true?,0
"Please, there are a whole bunch of people in Morne Lazar, museau, Delmas 60. in need of water food and medical help. we are bout 3000",1
Road Oryol ( ?? ) Delmas 18 there's a collapsed house with lots of people. The sector is unlivable for the people who sleep there. Please help,1
I am a child. My leg is broken. Please send me some food so I don't die. ,1
"we need water and food in Karaval, pye batis and solino, thank you",1
writing just so that the authorities can help control of the economy. either by money or other. now im in port de paix. thanks im counting on you,0
"Can you please help me, provide some information about the events.",0
Please put some security and relief workers in every zone so that everyone can receive some aid. Thank you. I am waiting for the authorities in Grand Goave.,1
Please Digicel. Send a card for me.,0
"The centre is in the Legliz de Dye de la nouvel ( God of the Word ). Sice the catastrophy we did not receive anything, we are dying of hunger, hunger is killing us.",1
I would like to receive information about how to protect myself during potential earthquake. Please help.,1
I would like to have more information on the Earthquake. Thank you!,0
"We are located in Rue Jean Charles Fort National. We are 514 people. We need aid. Food, water and medication.",1
Please help us. we don't have food or water. some of us are sick. We have taking shelter close to castera in Fontamara 27. Thank yoiu,1
way to save ourselves. Our address is the 3rd entry in the St-Antoine Area,1
"Under the trees is where i sleep, we reach carrefour so that we find more people on the road",1
"We need help on place Maigate, we need tentes and water, also food. PLEASE foward the message for us because we havent received anythign yet ",1
"My friends, we are on Route Dalle. They forgot us. By the Salle Temoins Jehovah ",1
"Good evening people of Boulevard 15 Octobre, we are in need",1
i don't have the means to live with a 4 month old baby i had a little bakery and it was destroyed i need to find a job,1
"We need your help we need food, water and medical supplies in delmas 75 publin. Av P. Philipe street",1
this is for ansavo where the station is,0
I have 250 people who need help. Where do I go to get help for them?,0
I'm in Gros Morne. I need food and clothes. My dear friends help me for the love of God,1
"Those people who will be in the provinces by the barrell, what did we plan for them? They have health and hunger, insecurity and expensive life problems",1
"I'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",1
"I give thanks to God, bu my friends I have problems, Haitians have problems. I'm on the road in Cap Haitien and I don't even have water to drink",1
Please come help us. We want to live but can't do it alone. We are in K Foufey. We don't have anything and need anything to stay alive.,1
"Please, I want to know more information about what is going on acrss the country. Thanks.",0
"We need food in L'Artibonite, after we left the event/earthquake in Port au prince we didn't come with anything, all remains in port au Prince.",1
I chose not to go external ( out of the city? ) Because my job can create things to give me ??,0
"Need to know if there's no other foreing hospital to help wounded, than the on in republican republic,",1
I need the address of a cyber coffee that is open,0
"Hi, what's up I need information about Marcel de pi ( marculacet ) fifth section, cavaillon commune",0
Person is worried as to what will become of the ruins of their houses if they leave the capital. ,1
I would like to know how many marines are coming to Haiti.,1
The baby's diapers are under the rubble along with the rubber nipples/baby bottles. We greatly need your strong hands. ,1
Are the americans coming to occupy,0
condition bloody about / undergoing children delivery corner of delmas 31 and rue marien ,0
greetings to you who want to help in this situation. Beauduy needs your help. please it's an emergency,1
"Cabaret, Route nationale #1 near church assemblue du st esprit Need food i water",1
"Hello, what can be done to find a good answer from 4636",0
We need help at delmas 75 across from kiskeya christian school. Tank u!,1
"I'm here in my area which is Leogane in the Gros Morne section, but I'm stunner because my house is destroyed. How can you help us? Save us, please! ",1
".. . event discussed national. People are not getting aid. Many people have already died because of hunger, thirst, psychological health problems, stress, espcially little. .. ",1
I would like to get information about the American Embassy ,0
what are you doing about people dying of hunger?? i would like to have some water,1
If all my family dies can I find someone to go with?,1
"I dont have anyone, please do somethin for me",0
"We are at 13 ruelle Larose. We have nothing to eat. We have no water, no tent where we can sleep. We are asking Digicel to help us. Thank you. We are counting on you.",1
We need tents and food in the Guedon Zone of Crois-Des-Bouquets,1
"I just want to know when they are going to start fix things like roads, light and electricity",0
The messages you send are for people trapped under rubble only?,1
"We need to know who's responsible for distributing food for Petionville, please",1
There has been no authority since the earthquake on Tieremasse street in zone Saint-michel. People need food and water.,0
I have 2 people who are alive under some rubble. I do not know what to do. We live in Carrefour across the street from the local reeducation centre,1
I'm unable - all of my family was killed I've been hit here in the street. Please help me,1
We are in Croix de Bouquet - many of us have no food to eat please send help,1
AJPS is an socio-cultural association in Solon 6e section in Saint-Louis du sud commune. We have a groupe of people who came from Port au prince who are destitute.,0
Help me please. I don't have the means to speak so I am writing you. You've forgotten me. I'm waiting.,0
"Help us, Digicel! The people of Mariani are dying. We have no food, clothes, money. What will we do. There are people with typhoid who are becoming very sick. Please help us.",1
". .. 8- clothes 9- flashlight 10- radio 11- solar panel 12- plastic sheeting, tarp, 13- mobile bathroom 14- kitchecn ustensils 15- gallons 16- . .. ",0
Please held in the Cold River House of Mother St. Theresa there are 2 classes that have not been rescued there are people under there ,1
"I'm in carrefour, off paloma, Franclklin street, i haven't got any help since the 12th",1
"i am a boss, mason, computer tech and ironworker, i lost my fortune ( may not mean much, could be his asset ), we are not giving me anything to live.",0
"We are here in a repatriated village in zone menelas, We are in the sun and being burned by the sun, we ask that you help us please. We have children here.",1
"I own the cell hdo 368 - my house in broken. I ask to get this message passed on for me, please to the people who are responsible for my phone. ..",0
Is the earthquake everywhere in the country?,0
There they will find that person before the end of the month.,0
"I am in dispair. Since this morning I have been waiting. I thought, maybe, that I could speak to my mother.",0
"Hello. Please we need aid : food, water. Come help us in the Centre D'Hebergement Alliance. ( Alliance Center Shelter ) ",1
Barbancourt RoadRue Barbancourt on the way to the airport. ,0
I would like to know what the governement intends to do for people who lost their passport,0
"Good evening, if a person wants to go to France how does one proceed?",0
"I live in Pont rouge, we dont have tents or drinkable water. We are many here",0
wants to know want western union office is open. .. please ,0
"People in Thomazeau don't have anything to eat, especially in Hatte Cadete",1
purified water. we leave at croix-des-bouquets ( Meyer entrue 2Rigaud ) just next 2the pshychiatry center. ,1
Why is that only those that are in the capital are the ones receiving aid? There are other places where the earthquake hit like,1
Urgent help in Carrefour : Mahotiere 75 rue Nelson 2 prolong to impass La paix,1
People are under the rubbles. Some people are forced to close the streets. Please do something.,1
"I have an association, and i need help for my neighbors, but i don't know how it can be done",1
Please help me. I would like to go to my aunt in NY,0
"I'm hungry, a need for ity and ami in the inner court of Taba 3 Kazo. Please have pity on us. ",1
"we are in petit goave at liberte avenue. we have no house, no shelter, no water, no food. .. please help",1
Is there any aid for Croix-des-Bouquets?,0
"I live in martisan and i want to know where i can find clean water today because since thusday i havent found water. I'm starving, please help me",1
"Thank you for your advice, however we do not have any water purification tablets",0
"We are dying of hunger at Azil Communal, near Pace La Paix. We don't have tents. Thank you.",1
Please send me the telephone number for Radio Caraibes. ,0
Can you please reconnect my phone to the internet for me to chat with you because i got recently disconnected?,0
The people on the ground right now in Haiti are not helping out at all in my area.,0
I am 6 month pregnant and I would like to know what exactly i should do to take care of myself in a situation like this?,0
"My child is dying of starvation, I have received nothing",1
"Please be patient, I am on my way",0
"Good evening, I need advice on how to protect myself from epidemics or earthquakes",0
A woman that i know passed away while she was in church. She left her 4 kids. They are currently with me. She was the one working. I'm alone with them i don't know what to do.,1
"we need help in the town of ( bas Saintard, guitton, jean hose, mahotte ) in Arcahaie. A lot of people migrating from the capital. We need food,",1
I am a victim. I am sleeping in the mist with my wife and children. We don't have food. Please anot translated,1
"Even that our father has died, we want to become professionals in all kind of fields of study. Help us find adequate shelter in other for the children to go to school. Best regards and may God bless you.",1
What can I do if I'm in a house that is trembling?,0
"We need water, tents, food, lanterns, medicine. In Peguy Ville, Impasse Erice, Relax stadium",1
"With all international actors, act quicker for the people who are still living",0
"We're a group that's made a camp in an adventist church that's in Sarthe 53, next to the garage Graham, facing the Jordanian base. There's a lot of us, about 70. ..",1
"THIS SEEMS TO BE AN omer a Centre Juvenile Marie Auxiliatrice, soeurs salysiennes de Don Bosco. Adresse : Sarthe Rte National #1 enf Brasserie la couronne, imp Malot#38 bis. ",0
"Until now people in the mountains are burning ( figuratively ). 3rd section in Jacmel valley hasn't received any aid. We have no food, no tents, there are a lot of people who've left Port-. ..",1
No Location : People are starving. .. please do something to save us.,1
"Hello, Haitian Red Cross. I'm a victim having taken refuge in the south of the country, how can you help me because I need it.",1
"People in Bizoton, Delmas and Carrefour need help from you. They are waiting for you.",1
"I want you to know that, as of now, we here in Cabaret, more specifically, Guiton, are dying of hunger because is is so hard to find food. What do you want us to do? ",1
I live at L'ile a voix. We still haven't have any type of help,1
condolences for families of the victims of the recent disaster.,1
You haven't said anything regarding the Valley of Jacmel.,0
"In North-West part of the country, the price of the food is escalating. When our family abroad sent us some US dollars, it does not have any purchasing power.",0
I know your love how many atis who die,0
I am in Ile la Vache. We have food problems because the number of people on the island has increased,1
"Good evening, we would like to have aid, we live in La Plaine, Marraine 26. Our house is destroyed, we would fill our tank on the Montana ground but we can't because it's fissured. The water source is broken on. .. ",1
people in Mon Repos 44 have not found any help. Mon Repos is the laplaine area.,1
I am a pastor 41 of my people have lost their houses. . but right now we need food and clothes for them. please we need your help. the area is called Bwadom.,1
When can the population in the metropolitain zone hope to have a little electricity from the EDH? ,0
NOTES: Personal. Not an emergency.,0
"please i have problems i am hungry,do something now i went to school i need to eat find me a job now ",1
"..I study Electronics, I would like to know where I can find a job in this field. Thank you. ",0
NOTES: aclet dry We are counting on you.,0
the last earthquake I lost 4 people without counting an amputated foot ,1
him/her but I don't have the means. Please help me to go and join him/her ,0
Can you help me find a job please? ,0
..would love to go to an African country that wants to help Haitians ,0
"I'm very hungry, do something for me, because information is good, but hunger is tough, my brothers and sisters ",1
"People at Bigarat, in Damien are in trouble and are not yet visited by the authorities, nor the american, french or canadian missions. They need help. ",1
We have a well that is dry.It got full again can we drink the water ,0
"we need to reconstruct our country ,we prefer another nation because the americans are working for theirs own interests. ",0
I see that aid has started to flow. I will be doing some major selling in the market. I'd very much like to know what you will be doing to facilitate that? ,1
"UNITECHD is an organization with problems dealing with the victims in the area. Rumours of help and donation are circulating widely, however, we have not received food, water, medicine nor tents. ",1
"We are in Cabaret, in a area called Mang, about 37.5 KM from PAP. ",0
I have not received any response from my message. Thanks ,0
pleas send me a number that i can contact to find mediacal aid and other forms of aid. ,1
WE DO NOT HAVE CLOTHES TO WEAR. OUR HOME IS DESTROYED. WE ARE IN KENSCOFF AROUND VIARD. ,1
"I am Pestel, there is no food, there is nothing. We are at Dipi's house, please, we are waiting for you ",1
"Salutations, there are people under rubble on Avenue Pan Americaine in total communication. ",1
Wife's passport was in the USA at the time of the earthquake getting her visa renewed and it is still in the USA. (Requesting assistance) ,0
"I asked a question, I haven't gotten a response. ",0
I'm a professional and want to work as a computer scientist. I'm looking for a job. Thank you. ,0
I am in the tents at Delmas 29. We have not been helped. We need aid. ,1
What are they going to about the elected leaders whose terms are going to end? ,0
"Signal FM I salut you for the serious work you do fot hte rest of people who are left alive,and the voice of the weak. I ask you the list of names. ",0
I need information about aid and emergencies. ,1
"or a carpet with a blanket to have shelter from dew and rain, if there's a neighbourhood that never gets or hears anything it's ours in Jivna 3. Please brother, pass this message along for us, we have a comitee. ",1
We need help tp move the big rubbles. Will we receive assistance in the form of tractors for the big concrete chunks? ,1
"The people of ? need roads, electricity, medicine because there's an epidemic attacking them ",1
Is it important to ignore people with Aids or Malaria? ,0
"if someone never had aids,how can he protect himself? ",0
Someone just called me and told me there were alive under a supermarket help ,1
"I don't understand what youre doing because I am a victim, I can't be going to give blood, on the contrary, I need YOU to help ME ",1
"Pass this message for me to the authorities, we need food for the victims who took refuge in St-MArc ",1
NOTES: Comment and political opinion. No emergency.,0
I need advance notice for the earthquake ,0
Is there a risk of having another earthquake of same magnitude? ,0
Hello how are we I would like to reach-get a pice of information ,0
I would like to know the price of Reyovac batteries ,0
"There is a disease in Jacmel Called Hunger, the markets are closed, the little corner stores are not open, there's no food or brevages,all the hospitals are closed. there's is only 1 laboratory that's working in the city. ",1
"i'd ask for some advice, what would you say about this subject, because im a potential victim of this issue too ",0
Which school will be opening? ,0
Please circulate this message to the authorities for me. Please send food for the victims who sought refuge in St. Mark. ,1
Good job to Digicel. There is no other like it. ,0
I would like to know if there are any organisation that are looking to hire? Thank you. ,0
"I am in Turtle (Tortuga) Island, I did not find help and I am starving.. ",1
I have no money to buy ?. Please sent a 60 top up on this cellular to .. ,1
I want to have some information on the earthquake ,0
(truncated) sleeping in the streets under a syringe and if rain falls everyone would be in so much trouble i am asking you to pass this message on. God bless everyone who works in Radio ,1
We need help at delmas 75 across from kiskeya christian school. Thank u! ,1
"IN ST March, people are starving and are sick,we are waiting for help.. ",1
i want to give blood where do I go ,1
"After a 2009 year with a lot of problems, I WISH you all the best for the new year and May God bless you! ",0
"stay on the left..when he finished,he said now I can die in peace,all my dreams was to die like Jesus ,etween two thieves .. ",0
"Good morning. I would like to know what I need to do if I am an american citizen, if I want to travel with a child. Give me some information please. ",0
"I NEED HELP ,I AM A AMOTHER WITH SMALL CHILDREN 4 AND 3 YEARS OLD ",0
"PLEASE THEY NEED TENTES TO SLEEP,IT'S COLD AND THE RAIN STARTED ALREADY,IF IT WAS NOT GOD WE WOULD BE DEAD ALREADY ",1
"we have no foods ,no water please help us ",1
"In the valley of Jacmel, we have a lot of problem. The population has increased and food has become scarce. We don't have cards to establish contact. ",1
of what government and what police do you speak? One says you lost the head. Give Haiti to breathe another's air. ,0
.. to tell the government not to forget that Port-au-Prince is not the only place where you have survivors (victims) ,0
"BEFORE ALL THANK YOU FOR YOUR HELP YOU BRING IN THE COUNTRY,WE ARE GREATFUL,BUT WE NEED FOOD WATER AT LEAST 10 TENTS TO SLEEP URGENT ",1
"I'm a christian, theologist, teacher and I live in Chatile, behind the big garden of green peas and manioc. I never received any help and I can't go and fight for it in the crowds. ",1
Please if you find my msg let me know what you can do to help me. Thank you in advance and thank you for answering my first message. ,1
"Please, if is possible, give me some prepaid phone card or top-up my mobile phone with minutes. I have to let my family know that I am still alive ",1
I would like to take part in your services. ,0
"We have not seen any aid. The boat are so close to us but we did not get anything. In the name of Ojaded, we are asking for some aid to face the current crisis ",1
"I dont have a passport,is it possible to have one made for me in those moments? I expect an answer ",0
IF SOMEONE HAS HIS PASSORT AND WOULD LIKE TO GO BREATH BETTER AIR WHAT CAN HE DO? ,0
No one has come to help us at Delmas 1. ,1
"We are in Plateau Central in Maisade, there are many victims who came here,and what we had is not enough for them, please help us ",1
We are in Jacmel. We need tents. ,1
"Please, What can I do if I need to go visit my family in Santo Domingo. ",0
.. about the answer but we don't have enough strength anymore to go and get .. ,0
"Where can we find medicine, tents, medical care for free? ",1
